Position,Coverage
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,6
110,6
111,6
112,6
113,6
114,6
115,6
116,7
117,7
118,7
119,7
120,7
121,7
122,7
123,7
124,7
125,7
126,7
127,7
128,7
129,7
130,7
131,7
133,7
134,7
135,7
136,7
137,7
138,7
139,7
140,7
141,7
142,7
143,7
144,7
145,7
146,7
147,7
148,7
149,7
150,7
151,7
152,7
153,7
154,7
155,7
156,7
157,7
158,7
159,7
160,7
161,7
162,7
163,7
164,7
165,7
166,17
167,19
168,19
169,21
170,21
171,21
172,21
173,21
174,21
175,21
176,21
177,21
178,21
179,21
180,21
181,21
182,22
183,22
184,22
185,22
186,22
187,22
188,22
189,22
190,22
191,22
192,22
193,22
194,22
195,22
196,22
197,22
198,24
199,24
200,24
201,24
202,24
203,24
204,25
205,25
206,25
207,25
208,25
209,25
210,25
211,25
212,25
213,25
214,25
215,25
216,27
217,27
218,27
219,27
220,27
221,27
222,27
223,27
224,27
225,27
226,27
227,27
228,27
229,27
230,27
231,27
232,27
233,29
234,30
235,30
236,30
237,29
238,29
239,30
240,38
241,38
242,38
243,38
244,38
245,38
246,38
247,37
248,37
249,37
250,37
251,37
252,37
253,37
254,37
255,37
256,37
257,37
258,38
259,39
260,39
261,39
262,39
263,41
264,42
265,42
266,42
267,42
268,42
269,44
270,44
271,44
272,49
273,49
274,49
275,49
276,52
277,52
278,53
279,53
280,53
281,53
282,54
283,54
284,56
285,56
286,57
287,57
288,57
289,56
290,57
291,57
292,58
293,79
294,81
295,84
296,85
297,86
298,87
299,89
300,89
301,90
302,92
303,93
306,94
307,99
308,104
309,158
310,2350
311,3083
312,3216
321,3285
322,3526
324,5313
325,7334
327,7946
328,8019
330,8155
331,8779
332,8901
333,9232
334,9797
335,10700
337,11660
338,13742
339,14933
340,17163
342,17340
343,17423
344,17643
345,17768
346,22828
347,23246
348,23348
349,23523
350,23612
351,23692
352,23751
353,24206
354,24545
355,26488
356,26853
358,28646
359,28747
360,30427
361,30884
362,30970
363,32108
365,32278
366,32604
367,35618
368,35782
369,37578
370,37781
371,39170
372,39638
373,40175
374,42020
375,42091
377,43004
378,43122
380,43255
381,45813
382,45843
383,48168
384,48352
385,48464
386,48542
387,48766
388,49143
389,50561
390,50643
391,50984
392,51040
393,51973
394,52690
395,52866
397,53132
398,53197
399,53295
400,54146
401,54662
402,54660
403,54833
404,54949
405,55569
406,55815
407,55996
408,56824
409,57117
410,57243
411,57403
412,57637
413,58007
414,58090
415,58237
416,58549
417,58949
418,59119
419,59167
421,59971
422,60417
