Position,Coverage
1,31
2,64
3,64
4,108
5,108
6,109
7,109
8,109
9,109
10,109
11,113
12,113
13,113
14,113
15,114
16,116
17,116
18,116
19,116
20,116
21,116
22,116
23,116
24,116
25,118
26,120
27,122
28,123
29,123
30,123
31,123
32,123
33,123
34,110
35,232
36,231
37,231
38,231
39,230
40,230
41,227
42,227
43,218
44,217
45,217
46,226
47,230
48,240
49,246
50,246
51,248
52,248
53,256
54,256
55,263
56,266
57,269
58,273
59,279
60,279
61,281
62,288
63,290
64,292
65,293
66,295
67,294
68,295
69,297
70,315
71,324
72,327
73,347
74,347
75,357
76,430
77,437
78,461
79,467
80,467
81,476
82,509
83,512
84,527
85,534
86,535
87,542
88,580
89,591
90,595
91,599
92,603
93,613
94,634
95,637
96,637
97,641
98,646
99,670
100,715
101,720
102,726
103,730
104,747
105,753
106,754
107,753
108,756
109,758
110,762
111,775
112,786
113,792
114,804
115,806
116,810
117,824
118,833
119,835
120,836
121,835
122,837
123,843
124,848
125,861
126,860
127,863
128,866
129,869
130,869
131,877
132,892
133,903
134,912
135,926
136,931
137,934
138,936
139,939
140,943
141,965
142,972
143,984
144,991
145,997
146,1000
147,1003
148,1007
149,1008
150,1011
151,1023
152,1027
153,1030
154,1038
155,1052
156,1054
157,1053
158,1067
159,1068
160,1069
161,1072
162,1077
163,1082
164,1088
165,1101
166,1109
167,1113
168,1120
169,1133
170,1135
171,1131
172,1129
173,1131
174,1133
175,1166
176,1163
177,1157
178,1161
179,1171
180,1179
181,1206
182,1208
183,1212
184,1215
185,1231
186,1235
187,1251
188,1256
189,1261
190,1261
191,1263
192,1267
193,1273
194,1273
195,1280
196,1291
197,1310
198,1327
199,1328
200,1335
201,1343
202,1350
203,1353
204,1353
205,1357
206,1374
207,1384
208,1433
209,1457
210,1464
211,1484
212,1512
213,1539
214,1566
215,1570
216,1571
217,1587
218,1710
219,1807
220,1814
221,1832
222,1862
223,1891
224,1927
225,1941
226,1965
227,1973
228,1984
229,2017
230,2079
231,2085
232,2121
233,2130
234,2151
235,2189
236,2204
237,2236
238,2245
239,2241
240,2256
241,2260
242,2300
243,2314
244,2360
245,2400
246,2420
247,2445
248,2449
249,2454
250,2470
251,2472
252,2479
253,2483
254,2487
255,2500
256,2504
257,2541
258,2540
259,2558
260,2566
261,2568
262,2576
263,2588
264,2603
265,2605
266,2589
267,2616
268,2622
269,2641
270,2653
271,2663
272,2671
273,2677
274,2683
275,2720
276,2732
277,2743
278,2760
279,2771
280,2779
281,2786
282,2791
283,2802
284,2805
285,2811
286,2847
287,2859
288,2858
289,2868
290,2867
291,2874
292,2894
293,2899
294,2905
295,2919
296,2960
297,2971
298,3038
299,3059
300,3075
301,3103
302,3116
303,3136
304,3149
305,3157
306,3185
307,3179
308,3189
309,3191
310,3183
311,3186
312,3205
313,3272
314,3278
315,3302
316,3310
317,3313
318,3352
319,3352
320,3354
321,3370
322,3436
323,3496
324,3529
325,3537
326,3542
327,3565
328,3581
329,3658
330,3724
331,3756
332,3764
333,3764
334,3776
335,3783
336,3764
337,3759
338,3765
339,3771
340,3798
341,3811
342,3834
343,3836
344,3879
345,3902
346,3933
347,3934
348,3976
349,3987
350,3989
351,4009
352,4040
353,4104
354,4227
355,4242
356,4274
357,4286
358,4314
359,4340
360,4363
361,4391
362,4410
363,4433
364,4492
365,5172
366,5217
367,5268
368,5301
369,5341
370,5416
371,5433
372,5454
373,5526
374,5662
375,6009
376,6040
377,6067
378,6091
379,6099
380,6114
381,6149
382,6142
383,6167
384,6417
385,6479
386,6511
387,6587
388,6704
389,6736
390,6786
391,6792
392,6796
393,6806
394,6830
395,6822
396,6836
397,6839
398,6849
399,6920
400,6938
401,6960
402,6968
403,6987
404,7021
405,7038
406,7027
407,7074
408,7078
409,7106
410,7123
411,7182
412,7245
413,7256
414,7266
415,7284
416,7363
417,7410
418,7441
419,7440
420,7455
421,7449
422,7470
423,7514
424,7543
425,7570
426,7601
427,7628
428,7659
429,7662
430,7694
431,7756
432,7765
433,7775
434,7779
435,7794
436,7851
437,7923
438,7963
439,8003
440,8019
441,8049
442,8076
443,8087
444,8098
445,8112
446,8104
447,8082
448,8079
449,8093
450,8104
451,8183
452,8211
453,8224
454,8217
455,8242
456,8248
457,8264
458,8397
459,8426
460,8465
461,8528
462,8544
463,8560
464,8590
465,8609
466,8631
467,8666
468,8684
469,8718
470,8809
471,8819
472,8843
473,8852
474,8847
475,8880
476,8939
477,9013
478,9037
479,9091
480,9126
481,9171
482,9193
483,9271
484,9281
485,9285
486,9306
487,9395
488,9463
489,9493
490,9524
491,9601
492,9596
493,9634
494,9770
495,9840
496,9850
497,9885
498,9929
499,9969
500,10035
501,10364
502,10354
503,10358
504,10386
505,10579
506,10841
507,10899
508,10937
509,10953
510,11045
511,11173
512,11780
513,11955
514,11979
515,12004
516,12039
517,12154
518,12158
519,12152
520,12312
521,12356
522,12415
523,12581
524,12644
525,12659
526,12696
527,12743
528,12878
529,12996
530,13068
531,13177
532,13197
533,13181
534,13240
535,13270
536,13377
537,13545
538,13784
539,13861
540,13943
541,13987
542,14040
543,14323
544,14379
545,14376
546,14369
547,14416
548,14491
549,14493
550,14548
551,14637
552,14710
553,14717
554,14737
555,14763
556,14806
557,14889
558,14933
559,14952
560,14965
561,14996
562,15017
563,15060
564,15056
565,15042
566,15042
567,15075
568,15080
569,15138
570,15164
571,15171
572,15206
573,15217
574,15235
575,15265
576,15273
577,15304
578,15358
579,15380
580,15421
581,15508
582,15537
583,15571
584,15597
585,15621
586,15687
587,15718
588,15728
589,15745
590,15796
591,15823
592,15866
593,15899
594,15964
595,15985
596,16029
597,16102
598,16105
599,16115
600,16144
601,16281
602,16183
603,16222
604,16203
605,16194
606,16209
607,16229
608,16262
609,16276
610,16272
611,16349
612,16389
613,16389
614,16283
615,16316
616,16339
617,16372
618,16399
619,16415
620,16400
621,16442
622,16286
623,16280
624,16226
625,16237
626,16276
627,16299
628,16279
629,16278
630,16329
631,16292
632,16420
633,16423
634,16588
635,16752
636,16780
637,16764
638,16739
639,16730
640,16598
641,16585
642,16577
643,16530
644,16552
645,16544
646,16558
647,16591
648,16590
649,16654
650,16694
651,16686
652,16695
653,16647
654,16548
655,16561
656,16602
657,16601
658,16637
659,16582
660,16514
661,16534
662,16451
663,16490
664,16477
665,16410
666,16412
667,16423
668,16403
669,16373
670,16370
671,16299
672,16304
673,16307
674,16354
675,16365
676,16355
677,16447
678,16550
679,16633
680,16562
681,16553
682,16462
683,16626
684,16700
685,16755
686,16783
687,16825
688,16692
689,16731
690,16827
691,17014
692,17106
693,17086
694,17104
695,17146
696,17117
697,17053
698,17051
699,17063
700,17058
701,17033
702,17030
703,17133
704,17159
705,17207
706,17218
707,17268
708,17183
709,17221
710,17252
711,17231
712,17208
713,17240
714,17216
715,17197
716,17236
717,17282
718,17312
719,17293
720,17299
721,17301
722,17350
723,17379
724,17441
725,17508
726,17364
727,17425
728,17522
729,17631
730,17784
731,17465
732,17483
733,17524
734,17230
735,17194
736,17036
737,17010
738,16941
739,16948
740,16936
741,17033
742,17101
743,17144
744,17149
745,17174
746,17188
747,17253
748,17318
749,17340
750,17419
751,17435
752,17459
753,17455
754,17454
755,17478
756,17476
757,17470
758,17438
759,17362
760,17287
761,17430
762,17491
763,17502
764,17447
765,17471
766,17482
767,17573
768,17623
769,17647
770,17687
771,17719
772,17933
773,17962
774,17947
775,17932
776,17893
777,17855
778,17868
779,17858
780,17579
781,17560
782,17584
783,17597
784,17588
785,17666
786,17731
787,17814
788,17845
789,17810
790,17903
791,17745
792,17790
793,17663
794,17656
795,17667
796,17623
797,17585
798,17454
799,17430
800,17360
801,17277
802,17159
803,17094
804,17045
805,17047
806,17065
807,17080
808,17084
809,17125
810,17143
811,17181
812,17078
813,17069
814,17110
815,17165
816,17189
817,17201
818,17194
819,17194
820,17435
821,17557
822,17646
823,17653
824,17712
825,17781
826,17831
827,17685
828,17656
829,17617
830,17407
831,17495
832,17426
833,17438
834,17415
835,17422
836,17466
837,17606
838,18350
839,18682
840,18787
841,18792
842,18766
843,18728
844,18670
845,18702
846,18639
847,18622
848,18593
849,18613
850,18522
851,18751
852,18755
853,18850
854,18867
855,18916
856,18882
857,18869
858,18842
859,18757
860,18749
861,18822
862,18824
863,18838
864,18876
865,18826
866,18899
867,18870
868,18789
869,18812
870,18896
871,18944
872,18944
873,18946
874,19003
875,19008
876,18971
877,18997
878,18961
879,18976
880,19030
881,19035
882,19080
883,19221
884,19267
885,19276
886,19225
887,19226
888,19231
889,19225
890,19230
891,19092
892,19065
893,19082
894,19170
895,19181
896,19206
897,19241
898,19251
899,19269
900,19372
901,19357
902,19360
903,19406
904,19528
905,19615
906,19605
907,19611
908,19665
909,19700
910,19649
911,19621
912,19662
913,19519
914,19596
915,19601
916,19604
917,19456
918,19439
919,19445
920,19431
921,19723
922,19613
923,19633
924,19641
925,19676
926,19717
927,19801
928,19837
929,19919
930,19853
931,19897
932,20008
933,20085
934,20171
935,20266
936,20305
937,20237
938,20326
939,20321
940,20299
941,20318
942,20342
943,20367
944,20432
945,20514
946,20536
947,20500
948,20526
949,20503
950,20520
951,20544
952,20603
953,20646
954,20695
955,20686
956,20600
957,20652
958,20624
959,20619
960,20589
961,20621
962,20766
963,20848
964,20931
965,21004
966,21046
967,21184
968,21205
969,21189
970,21096
971,21092
972,20923
973,20887
974,20910
975,20927
976,20923
977,20901
978,20949
979,21009
980,21015
981,21181
982,21258
983,21280
984,21237
985,21142
986,21129
987,21092
988,21049
989,20975
990,20834
991,20835
992,20970
993,20773
994,20796
995,20854
996,20897
997,20921
998,20980
999,20927
1000,20933
1001,20924
1002,20956
1003,20762
1004,20752
1005,20665
1006,20653
1007,20644
1008,20647
1009,20705
1010,20850
1011,20880
1012,21011
1013,21134
1014,20972
1015,21049
1016,21082
1017,21073
1018,21067
1019,21190
1020,21284
1021,21327
1022,21332
1023,21403
1024,21394
1025,21109
1026,21150
1027,21209
1028,21293
1029,21251
1030,21242
1031,21156
1032,21161
1033,21212
1034,20973
1035,20983
1036,21044
1037,21167
1038,21012
1039,21058
1040,21022
1041,21055
1042,21097
1043,21138
1044,21127
1045,21101
1046,21141
1047,21163
1048,21154
1049,21221
1050,21347
1051,21329
1052,21414
1053,21502
1054,21531
1055,21560
1056,21596
1057,21754
1058,21784
1059,21803
1060,21811
1061,21851
1062,21910
1063,21904
1064,21972
1065,21823
1066,21804
1067,21788
1068,21837
1069,21813
1070,21795
1071,21845
1072,21863
1073,21854
1074,21946
1075,21813
1076,21841
1077,21862
1078,21983
1079,22134
1080,22617
1081,22629
1082,22678
1083,22649
1084,22577
1085,22552
1086,22514
1087,22537
1088,22620
1089,22636
1090,22626
1091,22620
1092,22600
1093,22587
1094,22573
1095,22603
1096,22596
1097,22595
1098,22547
1099,22598
1100,22619
1101,22666
1102,22612
1103,22718
1104,22783
1105,22797
1106,22780
1107,22787
1108,22646
1109,22549
1110,22668
1111,22564
1112,22555
1113,22653
1114,22617
1115,22576
1116,22590
1117,22463
1118,22503
1119,22510
1120,22501
1121,22585
1122,22647
1123,22664
1124,22653
1125,22616
1126,22593
1127,22637
1128,22588
1129,22521
1130,22565
1131,22576
1132,22681
1133,22633
1134,22641
1135,22590
1136,22480
1137,22271
1138,21986
1139,21999
1140,22047
1141,22050
1142,22014
1143,21962
1144,21940
1145,21954
1146,21978
1147,21997
1148,22072
1149,21908
1150,21860
1151,21863
1152,21891
1153,21930
1154,21927
1155,21921
1156,21927
1157,21956
1158,22033
1159,22083
1160,22065
1161,22068
1162,22175
1163,22214
1164,22165
1165,22200
1166,22170
1167,22217
1168,22265
1169,22224
1170,22209
1171,22164
1172,22168
1173,22162
1174,22142
1175,22132
1176,22192
1177,22262
1178,22224
1179,22220
1180,22321
1181,22377
1182,22409
1183,22376
1184,22371
1185,22382
1186,22364
1187,22403
1188,22434
1189,22492
1190,22431
1191,22353
1192,22363
1193,22398
1194,22433
1195,22456
1196,22451
1197,22484
1198,22510
1199,22543
1200,22498
1201,22397
1202,22229
1203,22226
1204,22240
1205,22244
1206,22268
1207,22314
1208,22338
1209,22346
1210,22338
1211,22203
1212,22127
1213,22114
1214,22005
1215,22001
1216,21975
1217,21897
1218,21900
1219,22014
1220,22112
1221,22125
1222,22110
1223,22131
1224,22183
1225,22218
1226,22218
1227,22178
1228,22130
1229,22020
1230,21998
1231,21728
1232,21604
1233,21529
1234,21502
1235,21529
1236,21488
1237,21564
1238,21564
1239,21560
1240,21490
1241,21536
1242,21143
1243,21098
1244,21090
1245,21058
1246,21060
1247,21133
1248,21012
1249,20967
1250,20942
1251,20964
1252,20945
1253,20901
1254,20874
1255,20880
1256,20913
1257,20889
1258,20858
1259,20877
1260,20860
1261,20739
1262,20718
1263,20705
1264,20594
1265,20491
1266,20492
1267,20428
1268,20412
1269,20429
1270,20433
1271,20399
1272,20442
1273,20407
1274,20339
1275,20218
1276,20128
1277,20183
1278,20635
1279,19794
1280,19696
1281,19613
1282,19566
1283,19505
1284,19497
1285,19428
1286,19320
1287,19253
1288,19234
1289,19187
1290,19219
1291,19217
1292,19227
1293,19126
1294,19156
1295,19147
1296,19088
1297,19080
1298,19046
1299,19003
1300,18992
1301,18852
1302,18829
1303,18795
1304,18777
1305,18771
1306,18821
1307,18877
1308,18890
1309,18845
1310,18837
1311,18865
1312,18811
1313,18812
1314,18823
1315,18871
1316,18933
1317,18890
1318,18800
1319,18139
1320,18106
1321,18102
1322,18092
1323,18016
1324,18009
1325,17966
1326,17962
1327,17999
1328,18010
1329,17980
1330,18067
1331,18050
1332,18040
1333,18053
1334,18049
1335,17986
1336,17934
1337,17806
1338,17795
1339,17785
1340,17788
1341,17844
1342,17999
1343,17849
1344,17904
