Position,Coverage
1,1
2,1
3,1
4,1
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,3
23,3
24,3
25,4
26,6
27,6
28,7
29,7
30,7
31,8
32,11
33,11
34,13
35,14
36,14
37,14
38,14
39,14
40,14
41,15
42,15
43,15
44,15
45,15
46,15
47,15
48,15
49,15
50,15
51,15
52,15
53,15
54,15
55,13
56,13
57,13
58,11
59,10
60,10
61,7
62,6
63,5
64,3
65,3
66,1
67,1
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,1
144,1
145,1
146,1
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,3
181,3
182,3
183,3
184,3
185,4
186,4
187,5
188,5
189,5
190,6
191,10
192,10
193,10
194,10
195,12
196,26
197,27
198,27
199,28
200,31
201,32
202,32
203,32
204,32
205,32
206,32
207,36
208,36
209,42
210,85
211,2415
212,3158
213,3295
214,3374
215,3575
216,5269
217,7301
218,7824
219,7890
220,8038
221,8643
222,8740
223,9008
224,9496
225,10358
226,11335
227,13290
228,15332
229,18239
230,18460
231,18619
232,18860
233,19001
234,25289
235,25714
236,25861
237,26155
238,26253
239,26378
240,26469
241,26885
242,27213
243,29190
244,29546
245,31636
246,31762
247,33693
248,34212
249,34316
250,35535
251,35741
252,36074
253,38901
254,39027
255,41009
256,41214
257,42823
258,43253
259,43719
260,45721
261,45820
262,46846
263,47038
264,47115
265,50217
266,50250
267,53016
268,53194
269,53348
270,53453
271,53659
272,54185
273,56177
274,56228
275,56590
276,56650
277,58004
278,58977
279,59168
280,59424
281,59561
282,59635
283,60725
284,61353
285,61445
286,61709
287,61793
288,62499
289,62758
290,62949
291,63916
292,64179
293,64404
294,64593
295,64832
296,65262
297,65368
298,65519
299,65800
300,66281
301,66547
302,66655
303,67766
304,68306
305,68988
306,69091
307,69141
308,69175
309,69121
310,72840
311,72978
312,73159
313,72938
314,72995
315,77732
316,77996
317,78145
318,78549
319,78505
320,80537
321,80965
322,81549
323,81332
324,81176
325,81285
326,82295
327,84235
328,88660
329,89241
330,89138
331,90105
332,90159
333,90288
334,90586
335,90144
336,90834
337,90295
338,91791
339,94143
340,94393
341,94223
342,94725
343,94518
344,95892
345,95842
346,96256
347,96225
348,95859
349,96040
350,96405
351,98142
352,99319
353,99506
354,100064
355,100443
356,101257
357,102096
358,103034
359,104516
360,104762
361,105610
362,106928
363,107764
364,109066
365,109957
366,110426
367,110740
368,110792
369,110816
370,111180
371,111229
372,111901
373,112170
374,112534
375,112788
376,112932
377,113148
378,113279
379,113561
380,113526
381,113820
382,113904
383,114088
384,114194
385,114467
386,114559
387,114829
388,115547
389,115611
390,115721
391,115941
392,116326
393,116421
394,116559
395,116755
396,117410
397,118042
398,117927
399,118888
400,119039
401,119380
402,119465
403,119569
404,120387
405,120195
406,123647
407,123726
408,124148
409,124258
410,124709
411,125800
412,126046
413,125941
414,126396
415,126994
416,127695
417,127862
418,127901
419,127711
420,128133
421,128260
422,130457
423,130951
424,135033
425,134689
426,140266
427,140455
428,146768
429,148278
430,151914
431,151920
432,151303
433,150650
434,150134
435,150755
436,151096
437,151547
438,149999
439,151129
440,151357
441,152830
442,154434
443,154556
444,153663
445,153799
446,153125
447,153761
448,153665
449,156939
450,156962
451,158301
452,158607
453,158959
454,159624
455,160329
456,161262
457,161106
458,160383
459,160866
460,162696
461,163272
462,162498
463,161936
464,162361
465,162302
466,162761
467,164438
468,164444
469,165169
470,164712
471,163127
472,163094
473,162141
474,163463
475,163501
476,164383
477,166687
478,165956
479,165730
480,166300
481,166608
482,166805
483,166759
484,167386
485,167447
486,167177
487,166824
488,167574
489,167815
490,168578
491,168742
492,168856
493,166489
494,166687
495,166976
496,166474
497,166690
498,166825
499,170536
500,170313
501,170573
502,170098
503,170740
504,170554
505,171565
506,171781
507,171670
508,170518
509,171289
510,172445
511,172427
512,172744
513,173304
514,173350
515,173750
516,173529
517,173793
518,173803
519,173704
520,175069
521,174780
522,174596
523,174668
